Matches,Teams,Position,Wins,Losses,NRR
54,MI,10,2,8,-0.72
54,PK,6,5,6,-0.23
54,RCB,4,7,5,-0.12
54,RR,3,7,4,0.33
54,SRH,5,5,6,0.33
55,CSK,8,4,7,0.03
55,DC,5,5,6,0.15
55,GT,2,8,3,0.12
55,KKR,9,4,7,-0.3
55,LSG,1,8,3,0.7
55,MI,10,2,8,-0.72
55,PK,7,5,6,-0.23
55,RCB,4,7,5,-0.12
55,RR,3,7,4,0.33
55,SRH,6,5,6,-0.03
56,CSK,8,4,7,0.02
56,DC,5,5,6,0.15
56,GT,2,8,3,0.12
56,KKR,9,5,7,-0.05
56,LSG,1,8,3,0.7
56,MI,10,2,9,-0.89
56,PK,7,5,6,-0.23
56,RCB,4,7,5,-0.11
56,RR,3,7,4,0.32
56,SRH,6,5,6,-0.03
57,CSK,9,4,7,0.03
57,DC,5,5,6,0.15
57,GT,1,9,3,0.38
57,KKR,7,5,7,-0.06
57,LSG,2,8,4,0.39
57,MI,10,2,9,-0.89
57,PK,8,5,6,-0.23
57,RCB,4,7,5,-0.12
57,RR,3,7,4,0.33
57,SRH,6,5,6,-0.03
58,CSK,9,4,7,0.03
58,DC,5,6,6,0.21
58,GT,1,9,3,0.38
58,KKR,7,5,7,-0.06
58,LSG,2,8,4,0.39
58,MI,10,2,9,-0.89
58,PK,8,5,6,-0.23
58,RCB,4,7,5,-0.12
58,RR,3,7,5,0.23
58,SRH,6,5,6,-0.03
59,CSK,9,4,8,-0.181
59,DC,5,6,6,0.21
59,GT,1,9,3,0.376
59,KKR,7,5,7,-0.057
59,LSG,2,8,4,0.385
59,MI,10,3,9,-0.613
59,PK,8,5,6,-0.23
59,RCB,4,7,5,-0.11
59,RR,3,7,5,0.228
59,SRH,6,5,6,-0.031
60,CSK,9,4,8,-0.181
60,DC,5,6,6,0.21
60,GT,1,9,3,0.376
60,KKR,8,5,7,-0.057
60,LSG,2,8,4,0.385
60,MI,10,3,9,-0.613
60,PK,6,6,6,0.23
60,RCB,4,7,6,-0.323
60,RR,3,7,5,0.228
60,SRH,7,5,6,-0.031
61,CSK,9,4,8,-0.181
61,DC,5,6,6,0.21
61,GT,1,9,3,0.376
61,KKR,6,6,7,0.16
61,LSG,2,8,4,0.385
61,MI,10,3,9,-0.613
61,PK,7,6,6,0.23
61,RCB,4,7,6,-0.323
61,RR,3,7,5,0.228
61,SRH,8,5,7,-0.27
62,CSK,9,4,9,-0.2
62,DC,5,6,6,0.21
62,GT,1,10,3,0.39
62,KKR,6,6,7,0.16
62,LSG,2,8,4,0.38
62,MI,10,3,9,-0.61
62,PK,7,6,6,0.02
62,RCB,4,7,6,-0.32
62,RR,3,7,5,0.22
62,SRH,8,5,7,-0.27
63,CSK,9,4,9,-0.2
63,DC,5,6,6,0.21
63,GT,1,10,3,0.39
63,KKR,6,6,7,0.16
63,LSG,3,8,5,0.26
63,MI,10,3,9,-0.61
63,PK,7,6,6,0.02
63,RCB,4,7,6,-0.32
63,RR,2,8,5,0.3
63,SRH,8,5,7,-0.27
64,CSK,9,4,9,-0.2
64,DC,4,7,6,0.25
64,GT,1,10,3,0.39
64,KKR,6,6,7,0.16
64,LSG,3,8,5,0.26
64,MI,10,3,9,-0.61
64,PK,7,6,7,-0.04
64,RCB,5,7,6,-0.32
64,RR,2,8,5,0.3
64,SRH,8,5,7,-0.27
65,CSK,9,4,9,-0.2
65,DC,4,7,6,0.25
65,GT,1,10,3,0.39
65,KKR,6,6,7,0.16
65,LSG,3,8,5,0.26
65,MI,10,3,10,-0.57
65,PK,7,6,7,-0.04
65,RCB,5,7,6,-0.32
65,RR,2,8,5,0.3
65,SRH,8,6,7,-0.23
66,CSK,9,4,9,-0.2
66,DC,4,7,6,0.25
66,GT,1,10,3,0.39
66,KKR,6,6,8,0.14
66,LSG,2,9,5,0.25
66,MI,10,3,10,-0.57
66,PK,7,6,7,-0.04
66,RCB,5,7,6,-0.32
66,RR,3,8,5,0.3
66,SRH,8,6,7,-0.23
67,CSK,9,4,9,-0.2
67,DC,5,7,6,0.25
67,GT,1,10,4,0.31
67,KKR,6,6,8,0.14
67,LSG,2,9,5,0.25
67,MI,10,3,10,-0.57
67,PK,7,6,7,-0.04
67,RCB,4,8,6,-0.25
67,RR,3,8,5,0.3
67,SRH,8,6,7,-0.23
68,CSK,9,4,10,-0.2
68,DC,5,7,6,0.26
68,GT,1,10,4,0.32
68,KKR,6,6,8,0.15
68,LSG,3,9,5,0.25
68,MI,10,3,10,-0.58
68,PK,7,6,7,-0.04
68,RCB,4,8,6,-0.25
68,RR,2,9,5,0.3
68,SRH,8,6,7,-0.23
69,CSK,9,4,10,-0.2
69,DC,5,7,7,0.2
69,GT,1,10,4,0.32
69,KKR,6,6,8,0.15
69,LSG,3,9,5,0.25
69,MI,10,4,10,-0.51
69,PK,7,6,7,-0.04
69,RCB,4,8,6,-0.25
69,RR,2,9,5,0.3
69,SRH,8,6,7,-0.23
70,CSK,9,4,10,-0.2
70,DC,5,7,7,0.2
70,GT,1,10,4,0.32
70,KKR,6,6,8,0.15
70,LSG,3,9,5,0.25
70,MI,10,4,10,-0.51
70,PK,6,7,7,0.13
70,RCB,4,8,6,-0.25
70,RR,2,9,5,0.3
70,SRH,8,6,8,-0.38
